target_name	antigen_url	sku	species	expression_host	tags	gene_symbol	protein_name
Integrin alpha 6 beta 4	https://www.sinobiological.com/search?keywords=CT069-H2508H-B	CT069-H2508H-B	Human		C-Flag & His		Integrin alpha 6 beta 4 (Biotinylated, HPLC-verified)
Interferon alpha 2/IFNA2	https://www.sinobiological.com/search?keywords=13833-H49H-B	13833-H49H-B	Human		C-His-AVI		Interferon alpha 2/IFNA2 (2B,Avi-tag Biotinylated, HPLC-verified)
Interferon alpha/beta receptor 1	https://www.sinobiological.com/search?keywords=13222-H49H-B	13222-H49H-B	Human		C-His-AVI		Interferon alpha/beta receptor 1 (Avi-tag Biotinylated, HPLC-verified)
Interferon alpha/beta receptor 2	https://www.sinobiological.com/search?keywords=10359-H02H-B	10359-H02H-B	Human		C-hFc		Interferon alpha/beta receptor 2 (Biotinylated, HPLC-verified)
JAM-A/F11 Receptor	https://www.sinobiological.com/search?keywords=10198-H49H-B	10198-H49H-B	Human		C-His-AVI		JAM-A/F11 Receptor (Avi-tag Biotinylated, HPLC-verified)
JNK1	https://www.sinobiological.com/search?keywords=10795-H09B-B	10795-H09B-B	Human		N-GST		JNK1 (Biotinylated)
KIR2DL1	https://www.sinobiological.com/search?keywords=13145-H49H-B	13145-H49H-B	Human		C-His-AVI		KIR2DL1 (Avi-tag Biotinylated, HPLC-verified)
KRAS	https://www.sinobiological.com/search?keywords=12259-H56E-B	12259-H56E-B	Human		N-His & AVI		KRAS (Biotinylated)
L1CAM	https://www.sinobiological.com/search?keywords=10140-H49H-B	10140-H49H-B	Human		C-His-AVI		L1CAM (Biotinylated, HPLC-verified)
L1R Protein	https://www.sinobiological.com/search?keywords=40889-V44E-B	40889-V44E-B	"MPXV
West African strains"		N-AVI-His		L1R Protein (Avi-tag Biotinylated)
LAG-3	https://www.sinobiological.com/search?keywords=16498-HNAH-B	16498-HNAH-B	Human		No tag		LAG-3 (Amine-Labeled Biotinylated, HPLC-verified)
LAIR1	https://www.sinobiological.com/search?keywords=13257-H27H-B	13257-H27H-B	Human		C-AVI & His		LAIR1 (Biotinylated)
LDLR/LDL Receptor	https://www.sinobiological.com/search?keywords=10231-H08H-B	10231-H08H-B	Human		C-His		LDLR/LDL Receptor (Amine-Labeled Biotinylated)
LIF	https://www.sinobiological.com/search?keywords=91002-C49H-B	91002-C49H-B	Cynomolgus,Rhesus		C-His-AVI		LIF (Biotinylated, HPLC-verified)
LIFR	https://www.sinobiological.com/search?keywords=10628-H08H-B	10628-H08H-B	Human		C-His		LIFR (Amine-Labeled Biotinylated)
LIGHT/TNFSF14	https://www.sinobiological.com/search?keywords=10386-H42H-B	10386-H42H-B	Human		N-AVI & hFc		LIGHT/TNFSF14 (Biotinylated)
LILRA3	https://www.sinobiological.com/search?keywords=13549-H08H-B	13549-H08H-B	Human		C-His		LILRA3 (Amine-Labeled Biotinylated)
LILRB5/CD85c/LIR-8	https://www.sinobiological.com/search?keywords=17221-H08H-B	17221-H08H-B	Human		C-His		LILRB5/CD85c/LIR-8 (Amine-Labeled Biotinylated)
LKB1/STK11	https://www.sinobiological.com/search?keywords=L15-30GB	L15-30GB	Human		N-AVI-GST		LKB1/STK11 (Full-length,Biotinylated)
LRP-6	https://www.sinobiological.com/search?keywords=11968-H49H-B	11968-H49H-B	Human		C-His-AVI		LRP-6 (Biotinylated)
LRRC15	https://www.sinobiological.com/search?keywords=15786-H49H-B	15786-H49H-B	Human		C-His-AVI		LRRC15 (Avi-tag Biotinylated, HPLC-verified)
LRRC32	https://www.sinobiological.com/search?keywords=15508-H08H-B	15508-H08H-B	Human		C-His		LRRC32 (Amine-Labeled Biotinylated)
LYPD6B	https://www.sinobiological.com/search?keywords=91044-C49H-B	91044-C49H-B	Cynomolgus		C-His-AVI		LYPD6B (Avi-tag Biotinylated, HPLC-verified)
Leptin	https://www.sinobiological.com/search?keywords=10221-HNAE-B	10221-HNAE-B	Human		No tag		Leptin (Biotinylated)
M-CSF/CSF1	https://www.sinobiological.com/search?keywords=11792-HNAH-B	11792-HNAH-B	Human		No tag		M-CSF/CSF1 (Amine-Labeled Biotinylated)
M-CSFR/CSF1R	https://www.sinobiological.com/search?keywords=50059-M08H-B	50059-M08H-B	Mouse		C-His		M-CSFR/CSF1R (Amine-Labeled Biotinylated)
MCP-1/CCL2	https://www.sinobiological.com/search?keywords=50368-M08B-B	50368-M08B-B	Mouse		C-His		MCP-1/CCL2 (Amine-Labeled Biotinylated)
MDGA2	https://www.sinobiological.com/search?keywords=30160-H49H-B	30160-H49H-B	Human		C-His-AVI		MDGA2 (Avi-tag Biotinylated, HPLC-verified)
MFGE8	https://www.sinobiological.com/search?keywords=10853-H27B-B	10853-H27B-B	Human		C-AVI & His		MFGE8 (Biotinylated)
MUC-1	https://www.sinobiological.com/search?keywords=30117-H08H-B	30117-H08H-B	Human		C-His		MUC-1 (aa890-1158,Biotinylated)
Mesothelin	https://www.sinobiological.com/search?keywords=5A0830-M49H-B	5A0830-M49H-B	Mouse		C-His-AVI		Mesothelin (Biotinylated, HPLC-verified)
Myeloperoxidase/MPO	https://www.sinobiological.com/search?keywords=11917-H49H1-B	11917-H49H1-B	Human		C-His-AVI		Myeloperoxidase/MPO (Avi-tag Biotinylated, HPLC-verified)
NCAM-1/CD56	https://www.sinobiological.com/search?keywords=10673-H27H-B	10673-H27H-B	Human		C-AVI & His		NCAM-1/CD56 (HPLC-verified, Biotinylated)
